miRNA,Disease,Score,Evidence,,,
hsa-miR-221,lung adenocarcinoma,0.8731726408004760,miR2Disease,,,
hsa-miR-153,lung adenocarcinoma,0.8728655576705930,miR2Disease,,,
hsa-miR-182,lung adenocarcinoma,0.8716110587120060,miR2Disease,,,
hsa-miR-424,lung adenocarcinoma,0.8714509606361390,miR2Disease,,,
hsa-miR-184,lung adenocarcinoma,0.8708142638206480,miR2Disease,,,
hsa-miR-129,lung adenocarcinoma,0.870750367641449,miR2Disease,,,
hsa-miR-522-5p,lung adenocarcinoma,0.8635606169700620,HMDD,,,
hsa-miR-208,lung adenocarcinoma,0.8247058987617490,miR2Disease,,,
hsa-miR-33,lung adenocarcinoma,0.8244162797927860,miR2Disease,,,
hsa-miR-190,lung adenocarcinoma,0.8241703510284420,miR2Disease,,,
hsa-let-7c,breast cancer,0.8880707621574400,"HMDD, miR2Disease",,,
hsa-miR-99a,breast cancer,0.8878856897354130,miR2Disease,,,
hsa-miR-522-5p,breast cancer,0.8875350952148440,HMDD,,,
hsa-miR-424,breast cancer,0.8867429494857790,miR2Disease,,,
hsa-miR-7515,breast cancer,0.8851884603500370,Unconfirmed,,,
hsa-miR-199a-3p/hsa-miR-199b-3p,breast cancer,0.8782836198806760,HMDD,,,
hsa-miR-21,breast cancer,0.876110315322876,miR2Disease,,,
hsa-miR-125b,breast cancer,0.8709887266159060,miR2Disease,,,
hsa-miR-142-3p,breast cancer,0.8581681847572330,miR2Disease,,,
hsa-miR-30b,breast cancer,0.8243371248245240,miR2Disease,,,
hsa-miR-99a,pancreatic cancer,0.8720178604125980,miR2Disease,,,
hsa-miR-182,pancreatic cancer,0.8704209327697750,miR2Disease,,,
hsa-miR-9*,pancreatic cancer,0.8699741959571840,miR2Disease,,,
hsa-miR-21,pancreatic cancer,0.8690706491470340,miR2Disease,,,
hsa-miR-29b,pancreatic cancer,0.8686704635620120,miR2Disease,,,
hsa-miR-522-5p,pancreatic cancer,0.8683289289474490,Unconfirmed,,,
hsa-miR-30b,pancreatic cancer,0.867526650428772,miR2Disease,,,
hsa-miR-3180@,pancreatic cancer,0.865973949432373,Unconfirmed,,,
hsa-miR-188,pancreatic cancer,0.8654093742370610,miR2Disease,,,
hsa-let-7c,pancreatic cancer,0.861393928527832,"HMDD, miR2Disease",,,
