miRNA,disease,reference
hsa-let-7f-2,kidney cancer,miR2Disease
hsa-let-7g,hepatocellular carcinoma (HCC),miR2Disease
hsa-let-7g,lung cancer,miR2Disease
hsa-let-7g,ovarian cancer (OC),miR2Disease
hsa-let-7g,colorectal cancer,miR2Disease
hsa-let-7g,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-let-7g,malignant melanoma,miR2Disease
hsa-let-7g,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-let-7g,prostate cancer,miR2Disease
hsa-let-7i,Alzheimer's disease,miR2Disease
hsa-let-7i,breast cancer,miR2Disease
hsa-let-7i,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-1,cardiac hypertrophy,miR2Disease
hsa-miR-203,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-203,uterine leiomyoma (ULM),miR2Disease
hsa-miR-204,acute myeloid leukemia (AML),miR2Disease
hsa-miR-204,breast cancer,miR2Disease
hsa-miR-382,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-382,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-382,miyoshi myopathy (MM),miR2Disease
hsa-miR-204,Insulinoma,miR2Disease
hsa-let-7d,acute promyelocytic leukemia (APL),miR2Disease
hsa-miR-133a,cardiomyopathy,miR2Disease
hsa-miR-21,lung cancer,miR2Disease
hsa-miR-16-1,acute promyelocytic leukemia (APL),miR2Disease
hsa-miR-635,ovarian cancer (OC),miR2Disease
hsa-miR-10a,diffuse large B-cell lymphoma (DLBCL),miR2Disease
hsa-miR-184,acute myeloid leukemia (AML),miR2Disease
hsa-miR-19a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-24,prostate cancer,miR2Disease
hsa-miR-302c,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-30d,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-368,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-150,lung cancer,miR2Disease
hsa-miR-125a,breast cancer,miR2Disease
hsa-miR-146a,lung cancer,miR2Disease
hsa-miR-146a,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-146a,pancreatic cancer,miR2Disease
hsa-miR-146a,prostate cancer,miR2Disease
hsa-miR-146a,psoriasis,miR2Disease
hsa-miR-146b,breast cancer,miR2Disease
hsa-miR-146b,autism spectrum disorder (ASD),miR2Disease
hsa-let-7d,lung cancer,miR2Disease
hsa-let-7d,ovarian cancer (OC),miR2Disease
hsa-let-7d,breast cancer,miR2Disease
hsa-let-7d,epithelial ovarian cancer (EOC),miR2Disease
hsa-let-7d,hepatocellular carcinoma (HCC),miR2Disease
hsa-let-7d,malignant melanoma,miR2Disease
hsa-let-7d,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-let-7d,pancreatic cancer,miR2Disease
hsa-let-7d,prostate cancer,miR2Disease
hsa-let-7d*,cardiac hypertrophy,miR2Disease
hsa-let-7e,lung cancer,miR2Disease
hsa-let-7e,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-let-7e,acute myeloid leukemia (AML),miR2Disease
hsa-let-7e,diffuse large B-cell lymphoma (DLBCL),miR2Disease
hsa-let-7e,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-let-7e,hepatocellular carcinoma (HCC),miR2Disease
hsa-let-7e,malignant melanoma,miR2Disease
hsa-let-7e,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-let-7e,ovarian cancer (OC),miR2Disease
hsa-let-7e,pituitary adenoma,miR2Disease
hsa-let-7e,psoriasis,miR2Disease
hsa-let-7f,lung cancer,miR2Disease
hsa-miR-210,glioblastoma multiforme (GBM),miR2Disease
hsa-miR-125a,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-125a,acute myeloid leukemia (AML),miR2Disease
hsa-miR-125a,chronic pancreatitis,miR2Disease
hsa-miR-125a,colorectal cancer,miR2Disease
hsa-miR-125a,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-125a,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-125a,lung cancer,miR2Disease
hsa-miR-125a,neuroblastoma (NB),miR2Disease
hsa-miR-125a,pancreatic cancer,miR2Disease
hsa-miR-125a,prostate cancer,miR2Disease
hsa-miR-125a,serous ovarian cancer,miR2Disease
hsa-miR-125a,vascular disease,miR2Disease
hsa-miR-125b,anaplastic thyroid carcinoma (ATC),miR2Disease
hsa-miR-125b,breast cancer,miR2Disease
hsa-miR-125b,prostate cancer,miR2Disease
hsa-miR-125b,Alzheimer's disease,miR2Disease
hsa-miR-125b,cardiac hypertrophy,miR2Disease
hsa-miR-125b,Cerebellar neurodegeneration,miR2Disease
hsa-miR-125b,heart failure,miR2Disease
hsa-miR-135a,malignant melanoma,miR2Disease
hsa-miR-135b,colorectal cancer,miR2Disease
hsa-miR-135b,malignant melanoma,miR2Disease
hsa-miR-150,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-150,polycythemia vera (PV),miR2Disease
hsa-miR-150,primary biliary cirrhosis (PBC),miR2Disease
hsa-miR-150,uterine leiomyoma (ULM),miR2Disease
hsa-miR-151,acute myeloid leukemia (AML),miR2Disease
hsa-miR-151,cardiac hypertrophy,miR2Disease
hsa-miR-151,diffuse large B-cell lymphoma (DLBCL),miR2Disease
hsa-miR-151,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-151,nasopharyngeal carcinoma (NPC),miR2Disease
hsa-miR-151,prostate cancer,miR2Disease
hsa-miR-151*,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-151*,acute myeloid leukemia (AML),miR2Disease
hsa-miR-152,asthma,miR2Disease
hsa-miR-152,breast cancer,miR2Disease
hsa-miR-152,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-153,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-154,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-154,dermatomyositis (DM),miR2Disease
hsa-miR-133a,tongue squamous cell carcinoma,miR2Disease
hsa-miR-133a,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-133a,glioblastoma multiforme (GBM),miR2Disease
hsa-miR-133a,primary biliary cirrhosis (PBC),miR2Disease
hsa-miR-133a,retinitis pigmentosa (RP),miR2Disease
hsa-miR-133a,vascular disease,miR2Disease
hsa-miR-133b,Parkinson's disease,miR2Disease
hsa-miR-133b,tongue squamous cell carcinoma,miR2Disease
hsa-miR-133b,colorectal cancer,miR2Disease
hsa-miR-133b,glioblastoma multiforme (GBM),miR2Disease
hsa-miR-133b,Oral Squamous Cell Carcinoma (OSCC),miR2Disease
hsa-miR-133b,primary biliary cirrhosis (PBC),miR2Disease
hsa-miR-133b,psoriasis,miR2Disease
hsa-miR-133b,testicular germ cell tumor,miR2Disease
hsa-miR-134,acute promyelocytic leukemia (APL),miR2Disease
hsa-miR-134,B-cell chronic lymphocytic leukemia,miR2Disease
hsa-miR-134,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-134,epithelial ovarian cancer (EOC),miR2Disease
hsa-miR-134,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
hsa-miR-134,nemaline myopathy (NM),miR2Disease
hsa-miR-134,ovarian cancer (OC),miR2Disease
hsa-miR-136,breast cancer,miR2Disease
hsa-miR-136,hepatocellular carcinoma (HCC),miR2Disease
hsa-miR-21,miyoshi myopathy (MM),miR2Disease
hsa-miR-21,ovarian cancer (OC),miR2Disease
hsa-miR-21,pancreatic cancer,miR2Disease
hsa-miR-21,papillary thyroid carcinoma (PTC),miR2Disease
hsa-miR-21,polymyositis (PM),miR2Disease
hsa-miR-21,prostate cancer,miR2Disease
hsa-miR-21,psoriasis,miR2Disease
hsa-miR-21,serous ovarian cancer,miR2Disease
hsa-miR-21,uterine leiomyoma (ULM),miR2Disease
hsa-miR-210,breast cancer,miR2Disease
hsa-miR-210,diffuse large B-cell lymphoma (DLBCL),miR2Disease
hsa-miR-210,acute lymphoblastic leukemia (ALL),miR2Disease
hsa-miR-210,acute myeloid leukemia (AML),miR2Disease
hsa-miR-210,Alzheimer's disease,miR2Disease
hsa-miR-210,dermatomyositis (DM),miR2Disease
hsa-miR-210,Duchenne muscular dystrophy (DMD),miR2Disease
hsa-miR-210,follicular lymphoma (FL),miR2Disease
hsa-miR-210,head and neck squamous cell carcinoma (HNSCC),miR2Disease
hsa-miR-9,Hodgkin's lymphoma,miR2Disease
hsa-miR-31,malignant melanoma,miR2Disease
hsa-miR-31,pancreatic ductal adenocarcinoma (PDAC),miR2Disease
hsa-miR-368,facioscapulohumeral muscular dystrophy (FSHD),miR2Disease
hsa-miR-368,limb-girdle muscular dystrophies types 2A (LGMD2A),miR2Disease
