disease,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
hepatocellular carcinoma,-0.83733314,-0.54735196,-0.13132457,1.3206267,-0.26618212,-0.5690139,-0.8642333,0.7028861,0.44784302,0.052548714,-0.5308913,-0.021837046,-1.2247514,-0.7219976,0.810758,0.19685453,-0.9119355,0.18368113,0.3900998,-0.76536167,0.18021283,0.65229946,0.5165798,0.88806134,0.48723736,-0.97926396,0.1954594,0.019265238,-0.8384186,0.15467346,-1.1484369,0.03468942,-1.0489886,-0.9766644,0.62834615,1.2525038,-0.6370292,0.6395172,0.042501632,0.3009824,0.12138909,0.57441676,-0.8002842,-0.65317297,0.44970295,-0.5223933,0.39845884,-0.28427097,-0.76596326,-0.54740363,-0.32873753,-0.09996527,-0.8931851,0.6254621,1.3042433,0.88137853,-1.4248409,0.36870217,0.9021953,-0.6093202,0.63251466,0.18339133,0.3330209,-0.34478977,0.7102832,0.8253823,1.1270418,-0.7933513,-0.16150826,-1.0824093,-0.9786378,0.4299951,-0.28657842,-1.137652,-0.7230927,1.1698831,0.027090207,-0.2859008,0.65867203,1.0800917,0.2758179,0.63551635,-0.2646818,-0.86690706,1.1501281,0.8263793,0.8417438,0.6241698,0.08087427,-1.0189499,1.1660941,-0.7866617,0.27756387,-0.067270465,0.18485874,-0.51073456,0.28404045,0.32143062,1.1822343,-0.32426348,-0.03506329,0.65346134,-0.8466776,-0.5237516,0.6209434,-0.07788892,0.88734305,-0.11130881,1.1327643,0.94924664,0.97162086,0.94189435,-1.0798563,-0.40077135,0.4843793,-0.295202,-0.01592637,-0.7922541,-0.7649623,-0.04376658,-0.4023783,0.24785191,-0.124164425,1.4496295,0.041448407,0.58563966,-0.6548625,-1.2475784
lung cancer,-0.89714164,-0.58030444,-0.14157437,1.4044918,-0.2862535,-0.6036465,-0.9166008,0.7480563,0.47586954,0.058886744,-0.5637796,-0.02625386,-1.3044378,-0.7673711,0.86067486,0.21107945,-0.96979916,0.19727257,0.40441945,-0.80901486,0.19417594,0.6969222,0.5492215,0.94852966,0.5164216,-1.0396113,0.20685719,0.024870098,-0.8932681,0.16156466,-1.2177045,0.032179974,-1.1193686,-1.0381197,0.6695819,1.334296,-0.67575717,0.67415434,0.042123627,0.3203211,0.132464,0.61299795,-0.8575755,-0.6977282,0.48011547,-0.5553965,0.42526945,-0.3032453,-0.8191529,-0.5822567,-0.3482361,-0.10650129,-0.9449759,0.6627347,1.3889233,0.9370758,-1.5245506,0.38663018,0.95646316,-0.64878005,0.6714177,0.19478914,0.35592285,-0.3656451,0.7562829,0.8746223,1.2010516,-0.8484473,-0.17399289,-1.1502057,-1.0412982,0.45442113,-0.30720457,-1.2089273,-0.7683138,1.242904,0.029070845,-0.3027284,0.6971223,1.1469799,0.29405537,0.676506,-0.2846789,-0.9176843,1.2205532,0.8791086,0.89683026,0.6694347,0.08689694,-1.0889181,1.2440457,-0.8383139,0.29930672,-0.07033833,0.20014997,-0.54650974,0.30139866,0.34336573,1.263251,-0.34177083,-0.038779814,0.69485646,-0.8939874,-0.55125856,0.664539,-0.083318874,0.94602925,-0.12299405,1.2106102,1.02125,1.0369356,1.0024446,-1.1485826,-0.4276061,0.51328415,-0.31265667,-0.02018601,-0.8408244,-0.81441414,-0.047930896,-0.4301809,0.2617316,-0.1273768,1.5432725,0.044418268,0.62160224,-0.6959575,-1.3227733
HER2+ positive cancer,-0.42338476,-0.2766492,-0.07060502,0.6617888,-0.1381512,-0.28915748,-0.43404093,0.35468757,0.227822,0.02250771,-0.26951507,-0.016066896,-0.6146381,-0.36398417,0.40765232,0.09400522,-0.45844984,0.09659607,0.18616764,-0.38400987,0.085824534,0.33026665,0.2618549,0.4478737,0.24675044,-0.49160936,0.10175799,0.015454341,-0.41355348,0.071306765,-0.5761964,0.02069332,-0.52790165,-0.49052197,0.31881884,0.62878996,-0.32178125,0.3115506,0.015478603,0.15459988,0.056938432,0.2912502,-0.4024015,-0.33090717,0.22928186,-0.26465642,0.203463,-0.13722724,-0.38748407,-0.2773297,-0.16804339,-0.047055848,-0.4475748,0.315289,0.65415776,0.4431705,-0.71656007,0.17700419,0.4527691,-0.30824327,0.31937093,0.09592456,0.17089246,-0.1761677,0.35848475,0.41447788,0.56638724,-0.40151966,-0.085756294,-0.5430966,-0.49302167,0.2179648,-0.14804336,-0.5704398,-0.3643737,0.5863741,0.018216651,-0.14690393,0.3218955,0.54225457,0.13284224,0.32129097,-0.13740453,-0.43493196,0.5760818,0.41622108,0.42409486,0.31698382,0.03598226,-0.5141965,0.58612484,-0.39680192,0.13466333,-0.028433988,0.08842532,-0.26028717,0.1459892,0.16505347,0.59477395,-0.16523927,-0.022598539,0.32989198,-0.42399073,-0.2561361,0.31508034,-0.03445214,0.44740453,-0.061419576,0.5702481,0.48060417,0.4904245,0.4737288,-0.5420958,-0.20484084,0.2454089,-0.15169154,-0.013513872,-0.40013248,-0.3872332,-0.017646957,-0.20563613,0.11800464,-0.055586427,0.72646004,0.016267108,0.29786378,-0.33094,-0.6241823
lung cancer,-0.5148118,-0.33689937,-0.08390532,0.8081522,-0.16631114,-0.3514027,-0.529789,0.43197757,0.27669913,0.02899321,-0.32760933,-0.017073015,-0.75002575,-0.4435329,0.49730816,0.11676871,-0.5591829,0.11575471,0.23234332,-0.46909472,0.10664735,0.40153548,0.31842664,0.54533064,0.30028233,-0.600073,0.12261371,0.015917659,-0.50788116,0.09010564,-0.703589,0.024123903,-0.64335966,-0.59855217,0.38744414,0.7671704,-0.39191967,0.38494205,0.021767817,0.18706627,0.07104139,0.35396674,-0.49029517,-0.4022352,0.27807292,-0.32189888,0.24663301,-0.16987425,-0.4711891,-0.33729205,-0.2038137,-0.058824956,-0.54693806,0.3843605,0.7984321,0.5405263,-0.873192,0.2200753,0.5528309,-0.3750435,0.3890085,0.11533601,0.20674019,-0.21367311,0.436547,0.50599134,0.69074076,-0.48817563,-0.10237208,-0.66297054,-0.6008396,0.2652601,-0.17859536,-0.69651747,-0.44409746,0.7160967,0.02012422,-0.1778475,0.39704233,0.66185474,0.1646019,0.39102292,-0.16539532,-0.5312117,0.7038066,0.5073004,0.51673293,0.38476476,0.045932174,-0.625901,0.71465796,-0.48325905,0.16614306,-0.037202083,0.10962263,-0.31563312,0.17667383,0.1996413,0.7248131,-0.20077188,-0.025208117,0.40175864,-0.51837844,-0.3160788,0.3826798,-0.044109106,0.5449372,-0.07210316,0.6947457,0.58379006,0.59701973,0.57766193,-0.6615405,-0.24822542,0.29861036,-0.18363383,-0.013753799,-0.48734438,-0.47104454,-0.02338661,-0.2491364,0.1470491,-0.0712344,0.8869958,0.021878896,0.36184436,-0.40291086,-0.7629833
liver cancer,-0.74059904,-0.48048222,-0.11800084,1.1600273,-0.23718518,-0.50021464,-0.757966,0.618505,0.39422145,0.04669942,-0.46695322,-0.022588897,-1.077215,-0.6346107,0.7116779,0.17244788,-0.801474,0.1639221,0.33356643,-0.669536,0.15834628,0.5759279,0.45461497,0.7833601,0.42777872,-0.8593794,0.17230801,0.021337148,-0.7353024,0.13217095,-1.0068513,0.028762635,-0.9243408,-0.85791135,0.55397105,1.1018715,-0.55936253,0.55540335,0.03367662,0.26571333,0.10736111,0.506878,-0.7071896,-0.57668775,0.39735273,-0.45968118,0.3520919,-0.24857767,-0.6766423,-0.48184833,-0.28900564,-0.08695141,-0.78167135,0.5485583,1.146908,0.77451116,-1.2577872,0.31817904,0.7909184,-0.53659415,0.5556206,0.16222504,0.29482734,-0.30332905,0.62524235,0.72342294,0.9919243,-0.7008964,-0.14470875,-0.9504445,-0.8607581,0.3768072,-0.2545623,-0.9988442,-0.6353921,1.0269101,0.025425846,-0.25151128,0.5739887,0.94806504,0.24098794,0.55950105,-0.23588136,-0.7591403,1.008646,0.72670233,0.7410638,0.55290145,0.07011191,-0.89926136,1.0271378,-0.692816,0.24481246,-0.05670418,0.16311984,-0.45196813,0.2502628,0.28450134,1.0426897,-0.2838962,-0.033273302,0.5747085,-0.73983514,-0.4546731,0.5491179,-0.067242555,0.7816765,-0.10227454,0.99930286,0.8422471,0.85670435,0.82833403,-0.9489307,-0.35412115,0.42523965,-0.2597429,-0.017655073,-0.6958818,-0.6736892,-0.0378915,-0.35603714,0.2146475,-0.10421397,1.2742796,0.03517203,0.5150987,-0.57582164,-1.0931802
pancreatic cancer,-0.6582635,-0.42574713,-0.10613737,1.0273429,-0.21194702,-0.4437106,-0.67098296,0.54850364,0.34991422,0.041013315,-0.41425878,-0.021959785,-0.95463616,-0.56248116,0.6302942,0.1518989,-0.710166,0.1467467,0.2908113,-0.5920274,0.13961951,0.5115991,0.40334716,0.6953525,0.37914002,-0.76092,0.15336081,0.02131077,-0.64984936,0.11484297,-0.89108974,0.025322545,-0.819985,-0.75994396,0.49190065,0.9766082,-0.49567163,0.48832443,0.027681906,0.23633535,0.09479697,0.45021793,-0.62802124,-0.512298,0.3533028,-0.40780348,0.31310973,-0.21900156,-0.6011455,-0.42752632,-0.2565048,-0.076266855,-0.6912153,0.48577234,1.0162656,0.6862478,-1.1165278,0.2786356,0.6999819,-0.47612438,0.49241775,0.14464815,0.26250386,-0.26928186,0.5545697,0.64022636,0.87939554,-0.6227405,-0.12986436,-0.8417083,-0.7630815,0.333735,-0.22709547,-0.8844779,-0.5630853,0.90921456,0.023762012,-0.22339317,0.50552493,0.8395207,0.21219945,0.4963621,-0.21079826,-0.67153496,0.8926551,0.6441752,0.65723103,0.49192905,0.06111566,-0.7984357,0.9109345,-0.6145949,0.21654789,-0.048611328,0.14413534,-0.40209413,0.22242944,0.25330228,0.9252834,-0.2514742,-0.031071289,0.5095743,-0.6537699,-0.3998283,0.4881944,-0.05848023,0.69346523,-0.09299968,0.8869209,0.7496545,0.76038367,0.7341878,-0.84067017,-0.3149368,0.37689403,-0.23072357,-0.017741358,-0.6167176,-0.5978163,-0.03275297,-0.31681424,0.18811403,-0.0896042,1.1288698,0.030066641,0.4570462,-0.5105667,-0.96703184
renal cell carcinoma cancer,-0.5863077,-0.3812679,-0.09496483,0.9175563,-0.18903363,-0.3974907,-0.6002981,0.49012673,0.3132426,0.034955665,-0.3708641,-0.019457754,-0.8521227,-0.5029062,0.56370574,0.13428648,-0.63454044,0.13118665,0.26169842,-0.5305259,0.123075865,0.45641762,0.36080953,0.6201452,0.33966357,-0.6803819,0.13796826,0.01853405,-0.57873005,0.10250767,-0.79722875,0.024785537,-0.73145837,-0.679114,0.43955395,0.871671,-0.44372573,0.43664807,0.024775945,0.21164747,0.08285612,0.40197098,-0.55894,-0.45711824,0.31558737,-0.36477342,0.27978396,-0.1943913,-0.53597987,-0.38232335,-0.23012757,-0.06753375,-0.6190238,0.43501058,0.90713036,0.613261,-0.9945068,0.24939986,0.6263216,-0.425479,0.44063696,0.12996255,0.23453996,-0.24143799,0.49543723,0.5730369,0.78486484,-0.5552637,-0.116052225,-0.75219643,-0.6818066,0.2994756,-0.202759,-0.7903475,-0.50349426,0.81250584,0.021927357,-0.2005933,0.45125434,0.75055635,0.18835852,0.4435862,-0.18800107,-0.6013131,0.798105,0.57561064,0.5868311,0.43816242,0.053506143,-0.7119336,0.81256425,-0.5487825,0.19124907,-0.04292438,0.1268043,-0.35873073,0.1995148,0.22639486,0.82478124,-0.22611928,-0.0281032,0.45556957,-0.58605194,-0.3579776,0.43527627,-0.0512836,0.61903226,-0.08245437,0.7905734,0.6663952,0.6784992,0.655774,-0.7509452,-0.28149498,0.33770624,-0.20714957,-0.015685715,-0.55193794,-0.5342994,-0.028049259,-0.28287563,0.1675848,-0.08048467,1.0076985,0.025969112,0.40937203,-0.456647,-0.86489135
sarcoma,-0.7679645,-0.49938506,-0.12177353,1.2054342,-0.24539182,-0.51966435,-0.78800637,0.64236456,0.4093823,0.048358873,-0.48502988,-0.022384379,-1.118933,-0.6593174,0.7396883,0.17935108,-0.83270556,0.16951428,0.34952447,-0.69661844,0.16453297,0.59752893,0.47213492,0.81297284,0.44458646,-0.89327115,0.17885251,0.020762851,-0.7644585,0.13852488,-1.0468746,0.0304288,-0.9595923,-0.89148575,0.5750033,1.1444659,-0.58131874,0.57916945,0.03616334,0.27568665,0.11133375,0.5259792,-0.7335257,-0.5983206,0.41215914,-0.4774125,0.36520594,-0.25867003,-0.7019078,-0.5003838,-0.30023712,-0.09063044,-0.8131894,0.57029676,1.1913967,0.80472565,-1.3050399,0.33244938,0.8223738,-0.5571589,0.57735896,0.16821022,0.30563086,-0.3150498,0.6492891,0.75224334,1.0301324,-0.7270483,-0.1494648,-0.98775387,-0.8940886,0.39183962,-0.26362094,-1.0380876,-0.66018707,1.0673305,0.02589838,-0.26123255,0.59792155,0.98539,0.2508356,0.58099526,-0.24403265,-0.7896,1.0486419,0.7548859,0.76953363,0.5730652,0.073155515,-0.9331137,1.0664347,-0.719354,0.2540804,-0.05968733,0.16927274,-0.46859205,0.2598124,0.2949469,1.0821574,-0.2953034,-0.033784177,0.59697515,-0.770029,-0.47418964,0.5694358,-0.07025241,0.81155795,-0.10484077,1.0370508,0.872527,0.88920397,0.86044335,-0.985949,-0.36731523,0.44195735,-0.26976666,-0.017175142,-0.7231266,-0.69949836,-0.039554432,-0.36914545,0.22402973,-0.10984244,1.3238605,0.03694593,0.5350417,-0.5981688,-1.1368248
squamous cell cancer,-0.36913845,-0.24246284,-0.062339105,0.57781917,-0.121044286,-0.25369674,-0.37971285,0.31013227,0.1997763,0.018153124,-0.23628248,-0.014561389,-0.53645533,-0.3183966,0.35656792,0.08065996,-0.40062365,0.08497278,0.1626104,-0.33642885,0.07338729,0.288464,0.22934449,0.39084372,0.2163987,-0.4298186,0.089926444,0.013898001,-0.35924333,0.061459705,-0.5040113,0.019806916,-0.4606417,-0.42865193,0.2789854,0.54879534,-0.28189558,0.27123806,0.0128328735,0.13579574,0.048123736,0.25463003,-0.35030156,-0.28909522,0.20069657,-0.23176676,0.17819464,-0.118432626,-0.33819842,-0.24280924,-0.14776276,-0.04035411,-0.39181283,0.27621925,0.57090014,0.38733783,-0.6242917,0.15392585,0.39610428,-0.26963335,0.27966067,0.084721595,0.14975546,-0.15480387,0.313393,0.36274892,0.49437848,-0.350489,-0.075507365,-0.47453928,-0.43095255,0.19147758,-0.12976128,-0.49834216,-0.3187468,0.5122676,0.016907722,-0.12936968,0.2798971,0.47403574,0.11461197,0.28103542,-0.12038896,-0.38075662,0.50347245,0.36383712,0.37046286,0.27654395,0.030196361,-0.4486696,0.51134425,-0.34669033,0.11570751,-0.023876471,0.0755042,-0.22755264,0.1284394,0.14469865,0.5185969,-0.14554352,-0.020564474,0.28860956,-0.3714771,-0.22339983,0.27512282,-0.02893667,0.39077228,-0.05394543,0.49724957,0.41829273,0.42824602,0.4138606,-0.47350034,-0.17947307,0.21526845,-0.13357088,-0.012379744,-0.35043722,-0.33880466,-0.0141424555,-0.1799841,0.10200952,-0.04799985,0.6339588,0.013107007,0.26132622,-0.2896845,-0.54559964
melanoma,-0.33858797,-0.2228551,-0.05776892,0.5298772,-0.11150054,-0.23339193,-0.34855288,0.28474367,0.1837645,0.015815772,-0.21728584,-0.013919808,-0.49193692,-0.2923569,0.32731888,0.07310769,-0.36761627,0.07848489,0.1484714,-0.30897325,0.06640156,0.26481187,0.21079563,0.35854524,0.19898503,-0.39443713,0.0831399,0.013312439,-0.32828072,0.05561728,-0.46258575,0.019046687,-0.42247966,-0.39330232,0.25635144,0.50326484,-0.2590401,0.24780078,0.01109637,0.12510139,0.043260947,0.23387192,-0.3209486,-0.265432,0.18451521,-0.21300006,0.1638855,-0.10771724,-0.31035563,-0.22312805,-0.136127,-0.036516014,-0.35968372,0.2537817,0.523479,0.35545552,-0.57217634,0.14036615,0.36357754,-0.24765635,0.25693154,0.078341,0.1378214,-0.1425703,0.2877202,0.33303285,0.45342204,-0.3216622,-0.06982397,-0.43534622,-0.3955646,0.17620297,-0.119500265,-0.45712307,-0.29267013,0.46988267,0.016210834,-0.11930733,0.2556567,0.4349932,0.10420569,0.25811034,-0.11089881,-0.34957612,0.4618597,0.3339597,0.33995587,0.25381967,0.026911162,-0.4115957,0.4688931,-0.31819928,0.105095096,-0.021163331,0.0683054,-0.20909373,0.11840665,0.13319737,0.4754734,-0.13413633,-0.019529227,0.26505172,-0.34111035,-0.20432082,0.25258523,-0.025781915,0.35859737,-0.04999403,0.45594084,0.3834474,0.39298588,0.37973583,-0.43435246,-0.16510157,0.19797033,-0.12317707,-0.011966177,-0.32198426,-0.31123564,-0.01219124,-0.16550152,0.09272028,-0.043341815,0.58124006,0.011288831,0.2404258,-0.2661218,-0.5004871
