disease,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
colon adenocarcinoma,-0.28077358,0.25419286,-0.12976092,0.19724128,-0.348786,0.08348887,-0.57543933,0.01038265,0.359659,-0.049901634,0.21327087,0.5128863,0.29241186,-0.22241421,0.32036743,-0.17913258,0.33271834,-0.08764567,0.2743536,-0.30807737,-0.23549229,-0.093669236,0.17697191,0.32901978,-0.17464666,-0.22689578,0.1262665,-0.3338692,0.17541651,-0.51019245,-0.17147897,-0.3843945,0.021525122,0.13351026,-0.30353317,0.2854807,-0.36007527,-0.18780346,-0.11062333,0.26606557,-0.026221175,-0.36452085,-0.16147988,0.3501169,-0.1145102,-0.056640577,0.39860162,-0.2556547,-0.02287835,-0.5157183,-0.12509711,-0.15847552,-0.13932803,-0.13902183,-0.36279988,0.40454376,-0.11227855,0.06403738,0.21368484,-0.0495017,0.31293556,-0.18396427,-0.11756968,0.39345634,-0.15830615,0.39946827,-0.4274626,0.13279794,0.0037637088,-0.29840752,0.10770106,0.014412138,0.055074345,-0.19905126,-0.32891166,0.4435802,-0.49891406,0.36078972,0.1284759,-0.22464234,0.2698899,-0.2464703,-0.049250398,0.34333846,-0.013368634,-0.16064103,0.008280002,-0.0009457121,0.36825898,0.13677323,-0.13967538,0.3952881,0.5191184,-0.28322628,0.47192287,-0.4813458,-0.17074943,0.1370032,0.06251749,0.081318535,0.09243017,-0.048656907,-0.17530543,0.25689676,0.26173902,0.024437455,-0.17964043,-0.16027425,0.06862552,0.2192796,0.07557883,0.21056698,-0.5615518,-0.09993313,-0.30781832,0.26220277,-0.09841277,-0.41745844,0.15954323,-0.26699534,-0.021389324,0.26895174,-0.041641135,-0.19883189,0.15801889,-0.035955947,-0.023198742,0.10899339
cervical squamous cell carcinoma,-0.29840016,0.2692292,-0.13663964,0.2091244,-0.36937463,0.088400185,-0.6103715,0.010236508,0.38245496,-0.05338122,0.22594547,0.54395145,0.3103391,-0.2366108,0.339333,-0.18982258,0.35346913,-0.093100846,0.29014474,-0.32643473,-0.25052983,-0.098902225,0.1868953,0.3483576,-0.18518178,-0.23978989,0.13382399,-0.35458654,0.18655778,-0.5410044,-0.18125294,-0.40781578,0.023507146,0.14179525,-0.32056707,0.30152854,-0.38259962,-0.19951187,-0.11736299,0.28168842,-0.028368602,-0.38564405,-0.17223348,0.37047508,-0.12151009,-0.060119145,0.42219254,-0.2702154,-0.025334777,-0.5465876,-0.13179241,-0.16740164,-0.14794566,-0.147449,-0.3846107,0.42935666,-0.11868031,0.067979254,0.22716525,-0.051623147,0.3323266,-0.1956825,-0.12500095,0.41660705,-0.16818555,0.42296207,-0.45398557,0.14088508,0.0037792898,-0.31610918,0.114864625,0.015448658,0.05822047,-0.2113899,-0.34815675,0.47086546,-0.52809334,0.38253748,0.13660535,-0.2391621,0.28628752,-0.2616929,-0.05277135,0.36457887,-0.014560064,-0.16971965,0.009564208,-0.001746008,0.39048374,0.14517099,-0.14809018,0.41953206,0.55042887,-0.30073014,0.50160223,-0.51052946,-0.18093047,0.14509644,0.065760024,0.08536722,0.09827672,-0.051573858,-0.18565352,0.27308786,0.27794448,0.026980085,-0.1904005,-0.16939513,0.07426574,0.23215795,0.080816604,0.22383198,-0.59577847,-0.106421255,-0.32627645,0.2783099,-0.10410353,-0.44246072,0.16895048,-0.2831484,-0.022654515,0.28523812,-0.044396468,-0.21069342,0.16714236,-0.038239226,-0.02479168,0.11656493
acute myelogenous leukemia,-0.14034593,0.12574404,-0.063656636,0.09856855,-0.17270915,0.041977115,-0.2856255,0.004365733,0.17971335,-0.025502639,0.105436906,0.25555196,0.14599143,-0.111359455,0.15861581,-0.08848695,0.1651182,-0.04415894,0.13664965,-0.15360458,-0.11788159,-0.045902528,0.08823626,0.16391443,-0.086300746,-0.11200184,0.06223306,-0.16670069,0.08687234,-0.25417355,-0.08451941,-0.19169675,0.011461077,0.06592478,-0.14993355,0.14098193,-0.17980525,-0.094022915,-0.055542488,0.13160269,-0.012704606,-0.18038777,-0.08115425,0.17430434,-0.0574799,-0.027654208,0.19852151,-0.12731944,-0.012280369,-0.25576985,-0.061368696,-0.07907874,-0.06882189,-0.06965177,-0.17980744,0.20072901,-0.055169675,0.032382116,0.106961735,-0.02483188,0.15522507,-0.091144755,-0.05804043,0.19487117,-0.07933201,0.19785616,-0.21329182,0.06551512,0.001280516,-0.14771268,0.054293763,0.007738673,0.027834672,-0.09855884,-0.16278243,0.22122121,-0.24823125,0.17883673,0.06452254,-0.11253996,0.13368845,-0.12212286,-0.025198199,0.1713984,-0.0073024235,-0.0791301,0.0049194107,-0.001249955,0.18359476,0.06857204,-0.06995783,0.1971776,0.25754216,-0.14042452,0.23450756,-0.23882651,-0.08432842,0.068575166,0.03142327,0.03960008,0.045521628,-0.024712281,-0.08759599,0.12847519,0.1297753,0.013043473,-0.088753864,-0.07896564,0.034128014,0.108365074,0.038334467,0.10539509,-0.27980953,-0.050364487,-0.15350339,0.12993117,-0.049367163,-0.20798856,0.07871685,-0.13221972,-0.010101891,0.13320795,-0.021307124,-0.09932783,0.07789195,-0.017399728,-0.011081182,0.054005392
lung cancer,-0.17203799,0.15487115,-0.07875619,0.1209019,-0.21264029,0.051384613,-0.3512158,0.005839163,0.22029641,-0.030954931,0.12988302,0.31378525,0.17909369,-0.13639039,0.19529144,-0.10903221,0.20297949,-0.053972945,0.1679176,-0.18859755,-0.14438947,-0.056779645,0.10841775,0.20135257,-0.10630961,-0.13812609,0.07674507,-0.2044618,0.10685241,-0.31212097,-0.104291245,-0.23528346,0.013640701,0.08120362,-0.1848849,0.17386048,-0.22050251,-0.11519513,-0.06799548,0.16210844,-0.01569818,-0.22219771,-0.099196576,0.21420127,-0.07037111,-0.03421662,0.24387059,-0.15648009,-0.014527404,-0.31466094,-0.07591782,-0.097130746,-0.08476297,-0.08534293,-0.22125399,0.24682522,-0.068155564,0.03953081,0.13103618,-0.030523732,0.19086944,-0.11208431,-0.07148067,0.23991545,-0.09715997,0.24358797,-0.26167178,0.08074624,0.0018781509,-0.18187784,0.066288665,0.00922013,0.03401779,-0.121272616,-0.2004801,0.27148417,-0.30509788,0.22003926,0.07894295,-0.13778205,0.16451597,-0.1502358,-0.030562364,0.21024528,-0.008616546,-0.097672224,0.0055669923,-0.0010744773,0.22539273,0.08398427,-0.08573464,0.24196666,0.31677026,-0.17270608,0.28810376,-0.29371893,-0.103917204,0.08408117,0.038524654,0.049167436,0.05611345,-0.030126926,-0.10747479,0.1574488,0.15960243,0.015472863,-0.109348364,-0.09745394,0.04174512,0.1335301,0.04666781,0.1291229,-0.34353936,-0.061517257,-0.1884469,0.15984565,-0.06049466,-0.25542745,0.09705217,-0.1627345,-0.01266866,0.16393866,-0.025870465,-0.12186387,0.09609449,-0.021592675,-0.0138063645,0.066330306
lung squamous cell carcinoma,-0.24553755,0.22128128,-0.11228595,0.17217273,-0.30366394,0.07289274,-0.5018159,0.008313189,0.31463066,-0.04403221,0.18567508,0.44754082,0.25539002,-0.19471411,0.27894703,-0.15596117,0.2904884,-0.07672648,0.23886706,-0.2686677,-0.20615624,-0.081203975,0.15395033,0.28672308,-0.15213242,-0.19710895,0.10989487,-0.29175922,0.15322183,-0.44512123,-0.14895315,-0.33556724,0.019449685,0.11643381,-0.2635869,0.24792531,-0.31478104,-0.16422902,-0.09669348,0.2315388,-0.02311679,-0.31707832,-0.14174326,0.30494073,-0.10010312,-0.049270645,0.34744692,-0.22248541,-0.020914631,-0.4493972,-0.10829353,-0.13790998,-0.121486485,-0.12143863,-0.31616396,0.3529254,-0.09746581,0.056079943,0.18695606,-0.042700898,0.27311254,-0.16072051,-0.10261036,0.34252182,-0.13847457,0.3477472,-0.37349278,0.11569911,0.0029503242,-0.25984553,0.094591394,0.012868268,0.048074823,-0.17365676,-0.2862226,0.38739935,-0.43458444,0.31444868,0.11249507,-0.19679256,0.23527928,-0.2150354,-0.043529574,0.2999771,-0.012115783,-0.13946319,0.0079690805,-0.0015480088,0.32133254,0.119555384,-0.121970564,0.34518495,0.4525376,-0.24713266,0.4122773,-0.41970342,-0.14864813,0.11952056,0.054299463,0.07011305,0.08063489,-0.042588223,-0.1528834,0.22472,0.22839817,0.022273755,-0.1564327,-0.139193,0.06077855,0.19079939,0.06658343,0.1842215,-0.49014926,-0.08766141,-0.26853582,0.22870113,-0.085810155,-0.36409628,0.13880053,-0.2327069,-0.018462798,0.23441742,-0.036667608,-0.17346728,0.13732971,-0.03126457,-0.02020112,0.09561875
bladder urothelial carcinoma,-0.22155097,0.19915594,-0.1007518,0.15522648,-0.2733218,0.065741956,-0.45206374,0.0071255257,0.28393877,-0.039945975,0.16710763,0.40337586,0.23030174,-0.17578271,0.25108472,-0.14035545,0.26180708,-0.06930452,0.2150889,-0.24210943,-0.18611091,-0.0729171,0.1385801,0.25828484,-0.13694659,-0.17722404,0.09887978,-0.26315677,0.1380951,-0.40116656,-0.13389398,-0.30251637,0.017853767,0.10484792,-0.2369649,0.22287296,-0.28396666,-0.14820391,-0.08725527,0.20835854,-0.020878997,-0.28527933,-0.12813933,0.27460617,-0.090331845,-0.04428809,0.31300673,-0.20029734,-0.01930861,-0.4046858,-0.0971807,-0.12416098,-0.109409176,-0.10954327,-0.28470138,0.317974,-0.08758357,0.050661113,0.1687443,-0.038320467,0.24610074,-0.14487231,-0.09243101,0.30829,-0.1249724,0.31299695,-0.33685422,0.10413555,0.0024815542,-0.23388524,0.085543364,0.011754861,0.043367352,-0.15645243,-0.2575677,0.3493049,-0.39137006,0.28318536,0.10158563,-0.17772353,0.21189238,-0.19372015,-0.039506964,0.27055478,-0.011153203,-0.12534721,0.007551713,-0.0017421668,0.2896182,0.10788127,-0.11000544,0.31124288,0.4075884,-0.22266662,0.3717007,-0.37806612,-0.13377154,0.10775024,0.048878178,0.06277637,0.07261411,-0.038489085,-0.13778862,0.20279394,0.2058007,0.020519331,-0.14079344,-0.12511905,0.055123504,0.17167078,0.060320865,0.16626276,-0.44182464,-0.07924082,-0.24201034,0.20602505,-0.07735879,-0.3280886,0.12486784,-0.20954579,-0.016508084,0.21110529,-0.03322711,-0.15636788,0.12348208,-0.028094897,-0.018146377,0.08633598
bladder cancer,-0.19909716,0.17908898,-0.09079776,0.13966826,-0.24582604,0.059236243,-0.40635118,0.006555901,0.2550733,-0.035861533,0.15023918,0.36276495,0.20708582,-0.15791526,0.22580275,-0.12616107,0.23513384,-0.06235117,0.1937191,-0.21785693,-0.16718669,-0.06560985,0.12491997,0.23248659,-0.12306115,-0.15951563,0.08884849,-0.23654316,0.12392698,-0.36080417,-0.12048698,-0.27203828,0.015932595,0.094129056,-0.21338,0.20067808,-0.25518805,-0.13323517,-0.07852364,0.1874026,-0.018523453,-0.25670204,-0.11500391,0.24723908,-0.08128234,-0.03972346,0.28167665,-0.18044946,-0.017122779,-0.36388665,-0.0875576,-0.11191898,-0.098235145,-0.098572545,-0.25594604,0.2857202,-0.078784056,0.045614608,0.1516424,-0.034799002,0.22106004,-0.13000256,-0.0829312,0.27730918,-0.11236073,0.28154716,-0.30276424,0.093534715,0.002211749,-0.21031907,0.076804996,0.010603121,0.03913208,-0.14050192,-0.2317028,0.31402344,-0.3522801,0.2545646,0.09131607,-0.1596034,0.19041798,-0.17400682,-0.03544326,0.24320912,-0.009996543,-0.1128133,0.006638165,-0.0014271496,0.26050708,0.09704625,-0.099003665,0.27983528,0.36642593,-0.2000163,0.3337918,-0.33983344,-0.12024271,0.09702351,0.04419231,0.0566229,0.06513181,-0.03469769,-0.12405112,0.18222927,0.18485497,0.018214282,-0.12654316,-0.11258898,0.04903604,0.1543899,0.054120705,0.1494195,-0.39727,-0.07119929,-0.21773396,0.18509,-0.06971734,-0.2951568,0.11226445,-0.18832916,-0.014769173,0.1897263,-0.029888103,-0.14072937,0.111075744,-0.025146104,-0.016176835,0.07725412
melanoma brain metastasis,-0.2394283,0.21589549,-0.10967222,0.16796565,-0.29627466,0.071131326,-0.4894725,0.008211198,0.30677432,-0.04290576,0.18114175,0.43657646,0.24910246,-0.18982804,0.27215192,-0.15213901,0.28324488,-0.074843235,0.23315087,-0.26214305,-0.200985,-0.07927014,0.15030794,0.27979743,-0.14839077,-0.19239499,0.10720351,-0.28453243,0.14935622,-0.4342312,-0.14536853,-0.32731962,0.01887916,0.113520995,-0.2573182,0.24200979,-0.30695203,-0.16016614,-0.09432936,0.22592355,-0.022438008,-0.30942735,-0.13812682,0.29759452,-0.097648,-0.04803426,0.33901948,-0.2171859,-0.020259464,-0.43840376,-0.105756946,-0.13463682,-0.11846906,-0.118474655,-0.30840838,0.34419373,-0.09512755,0.054700915,0.18230155,-0.041808173,0.26632166,-0.15666372,-0.10002323,0.3342014,-0.13503686,0.3393079,-0.36424896,0.11282643,0.0029043364,-0.25349912,0.092177905,0.012532119,0.04693072,-0.1693455,-0.2792885,0.37783405,-0.42409688,0.30673808,0.1096903,-0.19183555,0.22947973,-0.20968561,-0.042390198,0.29256654,-0.011772338,-0.1361353,0.007674662,-0.0014048121,0.313465,0.116622485,-0.11900092,0.3366861,0.44142887,-0.24099557,0.40196744,-0.40938857,-0.14501052,0.11663872,0.053072337,0.06850866,0.078600384,-0.04157024,-0.14918992,0.21911679,0.2227293,0.02157411,-0.15259373,-0.13585636,0.05905174,0.1861614,0.06486262,0.17962795,-0.4780959,-0.08545663,-0.2619779,0.22304094,-0.08376939,-0.3552134,0.13542028,-0.22697347,-0.017998805,0.2286548,-0.03574307,-0.16926001,0.13401492,-0.030475272,-0.019663807,0.09309706
hepatocellular carcinoma,-0.12419938,0.11125336,-0.056419402,0.08735115,-0.15285052,0.0372798,-0.25267255,0.003904346,0.15897019,-0.022591358,0.093258455,0.22628012,0.1292715,-0.09852383,0.14035973,-0.07824011,0.14592022,-0.03916025,0.12119876,-0.13610771,-0.10428777,-0.040605962,0.078343995,0.14528564,-0.0762846,-0.09918273,0.05499387,-0.1475472,0.07668373,-0.2250755,-0.07481211,-0.16973598,0.0101197995,0.058203775,-0.13284789,0.124901414,-0.15910356,-0.083256446,-0.04925382,0.11646366,-0.011034373,-0.15972486,-0.07174654,0.1545263,-0.050962858,-0.024361802,0.175906,-0.11295975,-0.010774327,-0.22633067,-0.054374855,-0.07021516,-0.060775083,-0.06174746,-0.15906285,0.1774908,-0.048800007,0.028749848,0.09466916,-0.022245191,0.13719468,-0.0804544,-0.051205657,0.1724918,-0.07025939,0.17513882,-0.18875895,0.057869703,0.0010715254,-0.13069537,0.048034683,0.0069196546,0.024771739,-0.08707546,-0.1440922,0.19581376,-0.2199929,0.1581954,0.05714263,-0.09953555,0.11820653,-0.10792301,-0.022304066,0.15171646,-0.006494656,-0.07005353,0.004312896,-0.0010699437,0.16260546,0.06077225,-0.062027924,0.17455858,0.22785498,-0.12411256,0.2072399,-0.2112637,-0.07456231,0.060834587,0.028017538,0.035106845,0.040138472,-0.021982407,-0.07768052,0.11369048,0.11469425,0.011448484,-0.07846922,-0.069894664,0.029827032,0.09587892,0.033908118,0.09328538,-0.24770546,-0.04459696,-0.13599257,0.114849605,-0.043847583,-0.1842334,0.06961244,-0.116917916,-0.008842784,0.117793046,-0.01891689,-0.08804812,0.0689181,-0.015278629,-0.0096696215,0.047510855
glioma,-0.12181679,0.10916927,-0.055422384,0.08572179,-0.14999658,0.03660271,-0.24788234,0.0038820016,0.15589778,-0.022139698,0.09150461,0.22202232,0.1268269,-0.09661761,0.1377333,-0.07676303,0.14310227,-0.03842208,0.118993685,-0.13357705,-0.102268465,-0.03986217,0.076945685,0.14260592,-0.07483433,-0.09736737,0.053949114,-0.1447345,0.0751798,-0.22084771,-0.073437914,-0.16653432,0.0098859165,0.057075284,-0.13043912,0.122634545,-0.15605447,-0.08167041,-0.048334558,0.11429226,-0.010766145,-0.15677612,-0.07032458,0.15169455,-0.050009437,-0.023884406,0.17264542,-0.11091843,-0.010494403,-0.22207566,-0.05340848,-0.06896027,-0.059598695,-0.060594928,-0.15606052,0.17410097,-0.04789794,0.02821619,0.09285072,-0.021912215,0.13455473,-0.078874186,-0.050199673,0.16927913,-0.0689231,0.17187756,-0.18515624,0.056760516,0.001054729,-0.12824643,0.047088623,0.006789788,0.024334464,-0.08539375,-0.141415,0.19209665,-0.21594076,0.15520371,0.056048945,-0.09759386,0.115957245,-0.10584802,-0.02185191,0.14882863,-0.0063539864,-0.068771385,0.0041792346,-0.0010016616,0.15955704,0.059629064,-0.060874462,0.17125158,0.22355141,-0.12172683,0.20322268,-0.20725898,-0.07315461,0.05971681,0.027547646,0.034504056,0.03934641,-0.021583311,-0.07625038,0.111505605,0.112486325,0.011157366,-0.076984525,-0.06861042,0.029125368,0.09408917,0.0332265,0.09149588,-0.24302554,-0.043732427,-0.13345554,0.11264876,-0.043055784,-0.18079342,0.06830593,-0.114699215,-0.008664683,0.11555569,-0.018554265,-0.08641454,0.06764078,-0.014967051,-0.009457401,0.046519592
