source,destination,score,evidence
hsa-miR-33,HER2+,0.903949499130249,miR2Disease
hsa-miR-7515,esophageal carcinoma,0.9032036662101746,Unconfirmed
hsa-miR-9*,esophageal carcinoma,0.900977611541748,miR2Disease
hsa-miR-424,esophageal carcinoma,0.9004931449890137,miR2Disease
hsa-let-7d,HER2+,0.9003480076789856,"HMDD, miR2Disease"
hsa-miR-520g-3p@,esophageal carcinoma,0.8999224305152893,Unconfirmed
hsa-miR-5688,esophageal carcinoma,0.8992652297019958,Unconfirmed
hsa-miR-33,esophageal carcinoma,0.899226725101471,miR2Disease
hsa-miR-188,esophageal carcinoma,0.8987182378768921,miR2Disease
hsa-miR-17-3p,pancreatic cancer cell line,0.8982596397399902,miR2Disease
hsa-miR-188,pancreatic cancer cell line,0.8963393568992615,miR2Disease
hsa-miR-551a,diffuse large B-cell lymphoma,0.8887544274330139,miR2Disease
hsa-let-7b,hepatoblastoma,0.888342559337616,"HMDD, miR2Disease"
hsa-miR-548aj-5p@,Luminal A,0.8881884813308716,Unconfirmed
hsa-miR-548ad-5p,hepatoblastoma,0.8880837559700012,Unconfirmed
hsa-let-7c,breast cancer,0.8880707621574402,"HMDD, miR2Disease"
hsa-miR-23a-3p,miR-675-y,0.888059675693512,Unconfirmed
hsa-miR-339-5p,miR-675-y,0.888059675693512,miR2Disease
hsa-miR-221,Splenic lymphoma,0.8879579305648804,miR2Disease
hsa-miR-99a,breast cancer,0.8878856897354126,miR2Disease
hsa-let-7b,hepatocellular carcinoma,0.8878520131111145,"HMDD, miR2Disease"
hsa-miR-135b,large cell neuroendocrine cancer,0.8876751065254211,miR2Disease
hsa-miR-522-5p,Gastric lymphoma,0.8875372409820557,Unconfirmed
hsa-miR-522-5p,breast cancer,0.8875350952148438,Unconfirmed
hsa-miR-126*,multiple myeloma,0.8875188231468201,miR2Disease
hsa-let-7c,multiple myeloma,0.8874748349189758,"HMDD, miR2Disease"
hsa-miR-208,hepatoblastoma,0.8873447775840759,miR2Disease
hsa-miR-342,large cell neuroendocrine cancer,0.8873367309570312,miR2Disease
hsa-miR-99a,larynx cancer,0.8873113989830017,miR2Disease
hsa-miR-766-3p-587,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-4726-5p,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-542-5p,synovial sarcoma,0.887004554271698,miR2Disease
hsa-miR-29b-1,synovial sarcoma,0.887004554271698,miR2Disease
hsa-miR-496,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-1283,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-7156-3p,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-8057,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-6516-3p,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-628,synovial sarcoma,0.887004554271698,miR2Disease
hsa-miR-6127,synovial sarcoma,0.887004554271698,Unconfirmed
hsa-miR-199a-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603,Unconfirmed
hsa-miR-6827-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603,Unconfirmed
hsa-miR-496,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603,Unconfirmed
hsa-miR-513b,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603,Unconfirmed
hsa-miR-363-5p,"squamous cell breast carcinoma, acantholytic variant",0.886959433555603,Unconfirmed
