Source Node,Destination Node,Attention Score
hsa-miR-552-3p,Duke C cancer,3.9202985763549805
hsa-miR-4417,HPV positive cancer,3.909780502319336
hsa-miR-520a-5p,HPV negative cancer,3.84310245513916
hsa-miR-548d-3p,nasopharyngeal cancer,3.8355417251586914
hsa-miR-138-5p,combined hepatocellular cholangiocarcinoma cancer,3.3266656398773193
hsa-miR-26b*,anaplastic astrocytoma cancer,3.0237863063812256
hsa-miR-3182,PR positive cancer,2.996495008468628
hsa-miR-183,rhabdomyosarcomas cancer,2.896322011947632
hsa-miR-6749-5p,testicular germ cell tumor cancer,2.8705122470855713
hsa-miR-125b-2-3p,colorectal adenocarcinoma cancer,2.870041608810425
hsa-miR-6846-5p,B cell lymphoma of MALT type cancer,2.8569600582122803
hsa-miR-3156-5p,primary papillary thyroid carcinomas cancer,2.797029972076416
hsa-miR-183*,esophageal cancer,2.7889416217803955
hsa-miR-6073,kidney renal papillary cell carcinoma cancer,2.762347936630249
hsa-miR-5002-3p,colorectal adenoma cancer,2.742830753326416
hsa-miR-92a-1-5p,serous ovarian cancers cancer,2.6070122718811035
hsa-miR-187-3p,cholangiocellular carcinoma cancer,2.148135185241699
hsa-miR-517c-3p,HER2+ positive cancer,2.0666773319244385
hsa-miR-497-3p,esophageal squamous cell carcinomas cancer,2.0637922286987305
hsa-miR-18a,uterine corpus endometrial carcinoma cancer,2.0164849758148193
hsa-miR-455-5p,uterus cancer,2.0018434524536133
hsa-miR-518f-3p,cutaneous T-cell lymphoma cancer,1.8923978805541992
hsa-miR-6813-5p,tubulovillous adenoma cancer,1.873993992805481
hsa-miR-652,clear cell ovarian carcinoma cancer,1.7050995826721191
hsa-miR-6828-3p,chromophobe renal cell carcinoma cancer,1.1986098289489746
hsa-miR-4679,adenocarcinoma cancer,1.1984363794326782
hsa-miR-7-5p,melanoma brain metastasis cancer,1.1661895513534546
hsa-miR-585-3p,Kaposi's sarcoma cancer,1.1487901210784912
