source,destination,score
hsa-miR-33,HER2+,0.903949499130249
hsa-miR-7515,esophageal carcinoma,0.9032036662101746
hsa-miR-9*,esophageal carcinoma,0.900977611541748
hsa-miR-424,esophageal carcinoma,0.9004931449890137
hsa-let-7d,HER2+,0.9003480076789856
hsa-miR-520g-3p@,esophageal carcinoma,0.8999224305152893
hsa-miR-5688,esophageal carcinoma,0.8992652297019958
hsa-miR-33,esophageal carcinoma,0.899226725101471
hsa-miR-188,esophageal carcinoma,0.8987182378768921
hsa-miR-17-3p,pancreatic cancer cell line,0.8982596397399902
hsa-miR-188,pancreatic cancer cell line,0.8963393568992615
hsa-let-7b,hepatoblastoma,0.888342559337616
hsa-miR-548aj-5p@,Luminal A,0.8881884813308716
hsa-miR-548ad-5p,hepatoblastoma,0.8880837559700012
hsa-let-7c,breast cancer,0.8880707621574402
hsa-miR-221,Splenic lymphoma,0.8879579305648804
hsa-miR-99a,breast cancer,0.8878856897354126
hsa-let-7b,hepatocellular carcinoma,0.8878520131111145
hsa-miR-135b,large cell neuroendocrine cancer,0.8876751065254211
hsa-miR-522-5p,Gastric lymphoma,0.8875372409820557
hsa-miR-522-5p,breast cancer,0.8875350952148438
hsa-miR-126*,multiple myeloma,0.8875188231468201
hsa-let-7c,multiple myeloma,0.8874748349189758
hsa-miR-208,hepatoblastoma,0.8873447775840759
hsa-miR-342,large cell neuroendocrine cancer,0.8873367309570312
hsa-miR-99a,larynx cancer,0.8873113989830017
hsa-miR-153,Hodgkin lymphoma,0.8868451714515686
hsa-miR-126*,B cell lymphoma of MALT type,0.8868436813354492
hsa-miR-7852-3p,pancreatic ductal adenocarcinoma,0.8868290185928345
hsa-miR-424,invasive ductal carcinoma,0.8867468237876892
hsa-miR-424,breast cancer,0.8867429494857788
hsa-miR-190,Gastric lymphoma,0.8866148591041565
hsa-miR-99a,B cell lymphoma of MALT type,0.8866127133369446
hsa-miR-33,invasive ductal carcinoma,0.8865980505943298
hsa-miR-9*,Splenic lymphoma,0.8865658640861511
hsa-miR-9*,hepatoblastoma,0.8865195512771606
