Source Node,Destination Node,Attention Score
hsa-miR-4417,HPV positive cancer,11.63503646850586
hsa-miR-552-3p,Duke C cancer,11.60905647277832
hsa-miR-520a-5p,HPV negative cancer,11.495813369750977
hsa-miR-548d-3p,nasopharyngeal cancer,11.308521270751953
hsa-miR-6749-5p,testicular germ cell tumor cancer,9.329790115356445
hsa-miR-125b-2-3p,colorectal adenocarcinoma cancer,9.20801830291748
hsa-miR-183,rhabdomyosarcomas cancer,8.857247352600098
hsa-miR-6846-5p,B cell lymphoma of MALT type cancer,8.284162521362305
hsa-miR-3182,PR positive cancer,8.225438117980957
hsa-miR-3156-5p,primary papillary thyroid carcinomas cancer,7.946596145629883
hsa-miR-183*,esophageal cancer,7.928757190704346
hsa-miR-6073,kidney renal papillary cell carcinoma cancer,7.760708808898926
hsa-miR-5002-3p,colorectal adenoma cancer,7.731624603271484
hsa-miR-92a-1-5p,serous ovarian cancers cancer,7.221642971038818
hsa-miR-652,clear cell ovarian carcinoma cancer,5.54987096786499
hsa-miR-589-5p,colonic adenomas cancer,5.258732795715332
hsa-miR-3912-5p,colon cancer,5.255339622497559
hsa-miR-6815-5p,hepatoblastoma cancer,4.942410945892334
hsa-miR-6813-5p,tubulovillous adenoma cancer,4.805088520050049
hsa-miR-518f-3p,cutaneous T-cell lymphoma cancer,4.67207145690918
hsa-miR-497-3p,esophageal squamous cell carcinomas cancer,4.557628631591797
hsa-miR-187-3p,cholangiocellular carcinoma cancer,4.062517166137695
hsa-miR-18a,uterine corpus endometrial carcinoma cancer,3.4985427856445312
hsa-miR-455-5p,uterus cancer,3.1465959548950195
hsa-miR-26b-3p,H. Pylori negative gastric cancer,2.615755081176758
hsa-miR-548e-3p,astrocytoma cancer,2.54890513420105
hsa-miR-585-3p,Kaposi's sarcoma cancer,2.4184534549713135
hsa-miR-3189-5p,non-small cell lung cancer,2.4139208793640137
hsa-miR-4476,myeloma cancer,2.4028921127319336
hsa-miR-22,bladder cancer,2.369574546813965
hsa-miR-7-5p,melanoma brain metastasis cancer,2.3625011444091797
hsa-miR-517c-3p,HER2+ positive cancer,2.339962959289551
